,Trial ID,Num Player Trials,Closest Distance From Herder,Furthest Distance From Herder,Closest Angle From Herder,Furthest Angle From Herder,Closest From Containment Zone,Furthest From Containment Zone,Successive Closest Distance From Herder,Successive Furthest Distance From Herder,Successive Closest Angle From Herder,Successive Furthest Angle From Herder,Dynamic Closest Distance From Herder,Dynamic Furthest Distance From Herder,Dynamic Closest Angle From Herder,Dynamic Furthest Angle From Herder,Successive Collinearity Angle,Dynamic Collinearity Angle,Static Collinearity Angle,Static Collinearity Distance,Successive Collinearity Distance,Dynamic Collinearity Distance,Other
0,07,21.0,13.0,4.0,0.0,0.0,13.0,4.0,13.0,4.0,13.0,4.0,7.0,0.0,5.0,0.0,13.0,4.0,0.0,13.0,13.0,4.0,0.0
1,08,21.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,13.0,0.0,13.0,0.0,15.0,13.0,0.0,0.0,15.0,13.0,0.0
2,09,21.0,20.0,1.0,0.0,0.0,0.0,0.0,20.0,1.0,20.0,1.0,7.0,0.0,8.0,0.0,20.0,9.0,20.0,20.0,20.0,9.0,0.0
3,10,21.0,20.0,1.0,0.0,0.0,0.0,0.0,20.0,1.0,20.0,1.0,8.0,0.0,8.0,0.0,20.0,6.0,20.0,20.0,20.0,6.0,0.0
4,11,21.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,6.0,0.0,20.0,4.0,20.0,20.0,20.0,4.0,0.0
5,12,21.0,20.0,1.0,0.0,0.0,0.0,0.0,20.0,1.0,20.0,1.0,15.0,0.0,18.0,0.0,20.0,18.0,20.0,20.0,20.0,18.0,0.0
6,13,21.0,8.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,7.0,0.0,7.0,0.0,13.0,4.0,13.0,13.0,13.0,4.0,0.0
7,14,21.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,18.0,1.0,17.0,0.0,17.0,0.0,18.0,17.0,0.0,0.0,18.0,17.0,0.0
8,15,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,11.0,0.0,20.0,10.0,20.0,0.0,0.0,1.0,0.0
9,16,21.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,7.0,0.0,1.0,0.0,17.0,14.0,17.0,17.0,17.0,14.0,0.0
10,17,21.0,14.0,0.0,0.0,0.0,0.0,7.0,14.0,0.0,14.0,0.0,19.0,0.0,19.0,0.0,14.0,19.0,14.0,14.0,14.0,19.0,0.0
11,18,21.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,21.0,0.0,15.0,0.0,18.0,0.0,21.0,17.0,21.0,0.0,21.0,17.0,0.0
12,19,21.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,1.0,20.0,1.0,0.0,0.0,5.0,0.0,20.0,3.0,20.0,20.0,20.0,3.0,0.0
13,20,21.0,10.0,5.0,0.0,0.0,1.0,0.0,10.0,5.0,10.0,5.0,5.0,0.0,5.0,0.0,10.0,5.0,10.0,10.0,10.0,5.0,0.0
14,21,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,21.0,21.0,21.0,0.0,0.0
15,22,21.0,16.0,1.0,0.0,0.0,1.0,1.0,16.0,1.0,16.0,1.0,5.0,0.0,4.0,0.0,16.0,4.0,16.0,16.0,16.0,4.0,0.0
16,23,21.0,5.0,8.0,0.0,0.0,5.0,8.0,5.0,8.0,5.0,0.0,11.0,0.0,13.0,0.0,8.0,7.0,8.0,8.0,8.0,7.0,0.0
17,24,21.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,9.0,10.0,0.0,4.0,0.0,12.0,11.0,12.0,12.0,12.0,11.0,0.0
