,Policy,TotalCount,N,MeanCount,Proportion
14,SuccessiveAngleCollinearity,129,180,7.166666666666667,0.7166666666666667
8,SuccessiveClosestAngleFromHerder,118,180,6.555555555555555,0.6555555555555556
18,SuccessiveDistanceCollinearity,89,180,4.944444444444445,0.49444444444444446
12,DynamicClosestAngleFromHerder,83,180,4.611111111111111,0.46111111111111114
15,DynamicAngleCollinearity,83,180,4.611111111111111,0.46111111111111114
6,SuccessiveClosestDistanceFromHerder,76,180,4.222222222222222,0.4222222222222222
16,StaticAngleCollinearity,76,180,4.222222222222222,0.4222222222222222
5,FurthestFromContainmentZone,69,180,3.8333333333333335,0.38333333333333336
10,DynamicClosestDistanceFromHerder,62,180,3.4444444444444446,0.34444444444444444
19,DynamicDistanceCollinearity,60,180,3.3333333333333335,0.3333333333333333
17,StaticDistanceCollinearity,59,180,3.2777777777777777,0.3277777777777778
2,ClosestAngleFromHerder,57,180,3.1666666666666665,0.31666666666666665
0,ClosestDistanceFromHerder,46,180,2.5555555555555554,0.25555555555555554
9,SuccessiveFurthestAngleFromHerder,13,180,0.7222222222222222,0.07222222222222222
3,FurthestAngleFromHerder,13,180,0.7222222222222222,0.07222222222222222
7,SuccessiveFurthestDistanceFromHerder,12,180,0.6666666666666666,0.06666666666666667
1,FurthestDistanceFromHerder,10,180,0.5555555555555556,0.05555555555555555
4,ClosestFromContainmentZone,10,180,0.5555555555555556,0.05555555555555555
13,DynamicFurthestAngleFromHerder,0,180,0.0,0.0
11,DynamicFurthestDistanceFromHerder,0,180,0.0,0.0
20,Other,0,180,0.0,0.0
