,Policy,TotalCount,N,MeanCount,Proportion
14,SuccessiveAngleCollinearity,129,180,7.166666666666667,0.7166666666666667
18,SuccessiveDistanceCollinearity,13,180,0.7222222222222222,0.07222222222222222
20,Other,12,180,0.6666666666666666,0.06666666666666667
5,FurthestFromContainmentZone,6,180,0.3333333333333333,0.03333333333333333
12,DynamicClosestAngleFromHerder,5,180,0.2777777777777778,0.027777777777777776
4,ClosestFromContainmentZone,4,180,0.2222222222222222,0.022222222222222223
16,StaticAngleCollinearity,3,180,0.16666666666666666,0.016666666666666666
0,ClosestDistanceFromHerder,3,180,0.16666666666666666,0.016666666666666666
1,FurthestDistanceFromHerder,2,180,0.1111111111111111,0.011111111111111112
7,SuccessiveFurthestDistanceFromHerder,2,180,0.1111111111111111,0.011111111111111112
8,SuccessiveClosestAngleFromHerder,1,180,0.05555555555555555,0.005555555555555556
9,SuccessiveFurthestAngleFromHerder,0,180,0.0,0.0
11,DynamicFurthestDistanceFromHerder,0,180,0.0,0.0
13,DynamicFurthestAngleFromHerder,0,180,0.0,0.0
6,SuccessiveClosestDistanceFromHerder,0,180,0.0,0.0
15,DynamicAngleCollinearity,0,180,0.0,0.0
3,FurthestAngleFromHerder,0,180,0.0,0.0
17,StaticDistanceCollinearity,0,180,0.0,0.0
2,ClosestAngleFromHerder,0,180,0.0,0.0
19,DynamicDistanceCollinearity,0,180,0.0,0.0
10,DynamicClosestDistanceFromHerder,0,180,0.0,0.0
