P1xpos,P1ypos,P1zpos,P1Heading,Targetxpos,Targetypos,Targetzpos,Targetxvel,Targetyvel,Targetzvel,Containmentxpos,Containmentypos,Containmentzpos,targetcontained,trialtime
42.60707,1,-22.93904,-2.115863,21.38137,0.5,-19.05382,0,0,0,0,0.2,0,True,345.48
42.60707,1,-22.93904,-2.115863,21.38137,0.5,-19.05382,-1.818305E-28,0,1.916733E-22,0,0.2,0,False,345.49
42.57806,1,-22.97976,-2.189785,21.38137,0.5,-19.05382,-1.815546E-28,0,1.90967E-22,0,0.2,0,False,345.5
42.54682,1,-23.0188,-2.245587,21.38137,0.5,-19.05382,-1.807053E-28,0,1.899692E-22,0,0.2,0,False,345.51
42.51408,1,-23.05659,-2.284739,21.38137,0.5,-19.05382,-1.798581E-28,0,1.889664E-22,0,0.2,0,False,345.52
42.48029,1,-23.09345,-2.312742,21.38137,0.5,-19.05382,-1.790152E-28,0,1.879717E-22,0,0.2,0,False,345.53
42.44577,1,-23.12962,-2.333037,21.38137,0.5,-19.05382,-1.781772E-28,0,1.869849E-22,0,0.2,0,False,345.54
42.4107,1,-23.16526,-2.347967,21.38137,0.5,-19.05382,-1.7734E-28,0,1.859931E-22,0,0.2,0,False,345.55
42.37524,1,-23.20051,-2.359138,21.38137,0.5,-19.05382,-1.765122E-28,0,1.850221E-22,0,0.2,0,False,345.56
42.33949,1,-23.23546,-2.367664,21.38137,0.5,-19.05382,-1.75684E-28,0,1.84046E-22,0,0.2,0,False,345.57
42.30349,1,-23.27017,-2.374322,21.38137,0.5,-19.05382,-1.748619E-28,0,1.830777E-22,0,0.2,0,False,345.58
42.26732,1,-23.30468,-2.379659,21.38137,0.5,-19.05382,-1.740445E-28,0,1.821171E-22,0,0.2,0,False,345.59
42.23099,1,-23.33904,-2.384061,21.38137,0.5,-19.05382,-1.732315E-28,0,1.811643E-22,0,0.2,0,False,345.6
42.19454,1,-23.37326,-2.387801,21.38137,0.5,-19.05382,-1.724222E-28,0,1.80219E-22,0,0.2,0,False,345.61
42.15797,1,-23.40736,-2.391073,21.38137,0.5,-19.05382,-1.716177E-28,0,1.792813E-22,0,0.2,0,False,345.62
42.1213,1,-23.44135,-2.394014,21.38137,0.5,-19.05382,-1.708101E-28,0,1.783253E-22,0,0.2,0,False,345.63
42.08455,1,-23.47525,-2.396723,21.38137,0.5,-19.05382,-1.700157E-28,0,1.774027E-22,0,0.2,0,False,345.64
42.0477,1,-23.50905,-2.399269,21.38137,0.5,-19.05382,-1.692184E-28,0,1.764617E-22,0,0.2,0,False,345.65
42.01077,1,-23.54276,-2.401702,21.38137,0.5,-19.05382,-1.684329E-28,0,1.755541E-22,0,0.2,0,False,345.66
41.97377,1,-23.57638,-2.404056,21.38137,0.5,-19.05382,-1.676451E-28,0,1.746279E-22,0,0.2,0,False,345.67
41.93668,1,-23.60992,-2.406358,21.38137,0.5,-19.05382,-1.668685E-28,0,1.737349E-22,0,0.2,0,False,345.68
41.89952,1,-23.64337,-2.408624,21.38137,0.5,-19.05382,-1.660902E-28,0,1.728232E-22,0,0.2,0,False,345.69
41.86229,1,-23.67674,-2.410868,21.38137,0.5,-19.05382,-1.653163E-28,0,1.719189E-22,0,0.2,0,False,345.7
41.82498,1,-23.71003,-2.413099,21.38137,0.5,-19.05382,-1.64547E-28,0,1.710217E-22,0,0.2,0,False,345.71
41.7876,1,-23.74324,-2.415323,21.38137,0.5,-19.05382,-1.637821E-28,0,1.701318E-22,0,0.2,0,False,345.72
41.75014,1,-23.77636,-2.417545,21.38137,0.5,-19.05382,-1.630181E-28,0,1.69236E-22,0,0.2,0,False,345.73
41.71261,1,-23.80939,-2.419768,21.38137,0.5,-19.05382,-1.622623E-28,0,1.683603E-22,0,0.2,0,False,345.74
41.67501,1,-23.84235,-2.421994,21.38137,0.5,-19.05382,-1.615069E-28,0,1.674787E-22,0,0.2,0,False,345.75
41.63733,1,-23.87522,-2.424225,21.38137,0.5,-19.05382,-1.607599E-28,0,1.666171E-22,0,0.2,0,False,345.76
41.59958,1,-23.908,-2.426463,21.38137,0.5,-19.05382,-1.600138E-28,0,1.657495E-22,0,0.2,0,False,345.77
41.56176,1,-23.9407,-2.428709,21.38137,0.5,-19.05382,-1.592715E-28,0,1.648888E-22,0,0.2,0,False,345.78
41.52386,1,-23.97332,-2.430962,21.38137,0.5,-19.05382,-1.585334E-28,0,1.640349E-22,0,0.2,0,False,345.79
41.48589,1,-24.00585,-2.433224,21.38137,0.5,-19.05382,-1.578002E-28,0,1.631879E-22,0,0.2,0,False,345.8
41.44784,1,-24.03829,-2.435495,21.38137,0.5,-19.05382,-1.570709E-28,0,1.623477E-22,0,0.2,0,False,345.81
41.40972,1,-24.07065,-2.437775,21.38137,0.5,-19.05382,-1.563421E-28,0,1.615013E-22,0,0.2,0,False,345.82
41.37153,1,-24.10292,-2.440065,21.38137,0.5,-19.05382,-1.556216E-28,0,1.606746E-22,0,0.2,0,False,345.83
41.33326,1,-24.1351,-2.442364,21.38137,0.5,-19.05382,-1.549007E-28,0,1.598415E-22,0,0.2,0,False,345.84
