trial_id,cond_info,trial_length,num_players,num_herder_agents,num_targets,num_obstacles,h1_x,h1_z,h1_ang,t1_x,t1_z,offset,stop_dist,b,k_goal,c1,c2,k_targ,c3,c4,c5,k_czone,c6,c7,k_obs,c8,c9
1,1,60,0,1,1,0,7.427021387,13.58599213,165.1071677,12.37087304,-10.43285237,8.5,20,3.5,43.3789,0.1,0.3911,176.3562,1.25,0.05,0.6387,50,1.25,0.05,198,0.2,0.05
2,2,60,0,1,1,0,17.60073296,17.92951574,100.1088023,35.84415051,4.697130885,8.5,20,3.5,43.3789,0.1,0.3911,176.3562,1.25,0.05,0.6387,50,1.25,0.05,198,0.2,0.05
3,3,60,0,1,1,0,-28.49805512,3.259585054,-22.3335391,-2.064038431,-28.71459464,8.5,20,3.5,43.3789,0.1,0.3911,176.3562,1.25,0.05,0.6387,50,1.25,0.05,198,0.2,0.05
4,4,60,0,1,1,0,-23.76051645,14.38794895,75.66472731,-1.287148026,26.83115528,8.5,20,3.5,43.3789,0.1,0.3911,176.3562,1.25,0.05,0.6387,50,1.25,0.05,198,0.2,0.05
5,5,60,0,1,1,0,29.81538066,10.6421863,20.04716433,-17.33406585,11.04197262,8.5,20,3.5,43.3789,0.1,0.3911,176.3562,1.25,0.05,0.6387,50,1.25,0.05,198,0.2,0.05
6,6,60,0,1,1,0,42.60707212,-22.93903829,88.94977202,21.38136673,-19.05381718,8.5,20,3.5,43.3789,0.1,0.3911,176.3562,1.25,0.05,0.6387,50,1.25,0.05,198,0.2,0.05
7,7,60,0,1,1,0,-38.59297492,38.17123702,131.8599948,36.18929215,12.54064381,8.5,20,3.5,43.3789,0.1,0.3911,176.3562,1.25,0.05,0.6387,50,1.25,0.05,198,0.2,0.05
8,8,60,0,1,1,0,-51.63982084,10.76394991,-135.7405946,15.8657885,1.11881886,8.5,20,3.5,43.3789,0.1,0.3911,176.3562,1.25,0.05,0.6387,50,1.25,0.05,198,0.2,0.05
9,9,60,0,1,1,0,-34.49569673,28.68515507,-141.4268908,-39.76204944,-19.75454261,8.5,20,3.5,43.3789,0.1,0.3911,176.3562,1.25,0.05,0.6387,50,1.25,0.05,198,0.2,0.05
10,10,60,0,1,1,0,19.90390269,-1.218083197,53.62774572,-31.80279478,13.75044706,8.5,20,3.5,43.3789,0.1,0.3911,176.3562,1.25,0.05,0.6387,50,1.25,0.05,198,0.2,0.05
11,11,60,0,1,1,0,-25.93177634,-33.90704349,124.4885462,-21.46863376,-0.010893551,8.5,20,3.5,43.3789,0.1,0.3911,176.3562,1.25,0.05,0.6387,50,1.25,0.05,198,0.2,0.05
12,12,60,0,1,1,0,24.24239089,26.59545853,-79.35877082,-25.97465477,12.86132872,8.5,20,3.5,43.3789,0.1,0.3911,176.3562,1.25,0.05,0.6387,50,1.25,0.05,198,0.2,0.05
13,13,60,0,1,1,0,30.91722184,13.35984455,112.7860817,-11.43275042,7.944911099,8.5,20,3.5,43.3789,0.1,0.3911,176.3562,1.25,0.05,0.6387,50,1.25,0.05,198,0.2,0.05
14,14,60,0,1,1,0,34.31259374,30.48454947,60.4475021,-6.668509633,29.11459356,8.5,20,3.5,43.3789,0.1,0.3911,176.3562,1.25,0.05,0.6387,50,1.25,0.05,198,0.2,0.05
15,15,60,0,1,1,0,-38.2522477,31.89823857,1.801367076,31.37330858,-6.803431435,8.5,20,3.5,43.3789,0.1,0.3911,176.3562,1.25,0.05,0.6387,50,1.25,0.05,198,0.2,0.05
16,16,60,0,1,1,0,-13.26317187,-10.55245657,-64.34001464,16.69729442,-0.224118454,8.5,20,3.5,43.3789,0.1,0.3911,176.3562,1.25,0.05,0.6387,50,1.25,0.05,198,0.2,0.05
17,17,60,0,1,1,0,27.0304145,28.33096313,-67.71641012,21.83110621,-10.2074561,8.5,20,3.5,43.3789,0.1,0.3911,176.3562,1.25,0.05,0.6387,50,1.25,0.05,198,0.2,0.05
18,18,60,0,1,1,0,21.59294054,2.140712226,62.23583715,-41.86888405,-4.535109726,8.5,20,3.5,43.3789,0.1,0.3911,176.3562,1.25,0.05,0.6387,50,1.25,0.05,198,0.2,0.05
19,19,60,0,1,1,0,8.150672629,-21.26193522,-12.94976221,-7.122315328,8.515122846,8.5,20,3.5,43.3789,0.1,0.3911,176.3562,1.25,0.05,0.6387,50,1.25,0.05,198,0.2,0.05
20,20,60,0,1,1,0,-17.16205247,13.49544215,-71.91661158,37.7224387,1.616968233,8.5,20,3.5,43.3789,0.1,0.3911,176.3562,1.25,0.05,0.6387,50,1.25,0.05,198,0.2,0.05
