trial_id,cond_info,trial_length,num_players,num_herder_agents,num_targets,num_obstacles,h1_x,h1_z,h1_ang,t1_x,t1_z,t2_x,t2_z,t3_x,t3_z,offset,stop_dist,b,k_goal,c1,c2,k_targ,c3,c4,c5,k_czone,c6,c7,k_obs,c8,c9
1,1,60,0,1,3,0,7.824234269,35.35789471,170.4961364,-5.003658181,15.84056591,-13.38423867,-13.42868207,32.42033026,-17.73051011,8.5,20,3.5,43.4,0.1,0.4,176.4,1.25,0.05,0.64,176.4,1.25,0.15,176.4,1.25,0.15
2,2,60,0,1,3,0,2.884720968,38.84216738,-35.60544173,-14.5654061,17.84261285,-26.11447288,22.58818168,-18.32183378,-14.74134353,8.5,20,3.5,43.4,0.1,0.4,176.4,1.25,0.05,0.64,176.4,1.25,0.15,176.4,1.25,0.15
3,3,60,0,1,3,0,49.4854422,2.529439494,-98.66931946,-27.88918971,7.626003513,-7.563086155,20.29497806,29.04806056,-7.470725421,8.5,20,3.5,43.4,0.1,0.4,176.4,1.25,0.05,0.64,176.4,1.25,0.15,176.4,1.25,0.15
4,4,60,0,1,3,0,32.70490283,33.86669876,86.46444934,-25.92005436,19.18783878,-41.87511286,-16.51849557,-3.329652956,-23.61218853,8.5,20,3.5,43.4,0.1,0.4,176.4,1.25,0.05,0.64,176.4,1.25,0.15,176.4,1.25,0.15
5,5,60,0,1,3,0,1.607231286,19.4625929,46.10906945,-16.21708837,3.477806097,-29.58786806,0.840104354,-39.6788697,11.28660261,8.5,20,3.5,43.4,0.1,0.4,176.4,1.25,0.05,0.64,176.4,1.25,0.15,176.4,1.25,0.15
6,6,60,0,1,3,0,41.1914319,20.92110073,164.677846,-9.983311062,-7.314262744,-24.53245268,-14.3188115,-38.58922738,-5.699563926,8.5,20,3.5,43.4,0.1,0.4,176.4,1.25,0.05,0.64,176.4,1.25,0.15,176.4,1.25,0.15
7,7,60,0,1,3,0,-18.31201428,11.2428609,21.14474964,20.56148325,24.28947604,-6.195904173,-10.61199067,1.62815506,-13.52310654,8.5,20,3.5,43.4,0.1,0.4,176.4,1.25,0.05,0.64,176.4,1.25,0.15,176.4,1.25,0.15
8,8,60,0,1,3,0,-17.51046997,-2.281864842,145.6618081,37.14669526,4.300603455,-17.29499795,21.53935917,22.88957256,-26.89550239,8.5,20,3.5,43.4,0.1,0.4,176.4,1.25,0.05,0.64,176.4,1.25,0.15,176.4,1.25,0.15
9,9,60,0,1,3,0,38.51034978,-16.05801255,-32.94826999,16.73254097,10.90266533,-1.575602075,10.7766314,-26.33578798,-17.12318155,8.5,20,3.5,43.4,0.1,0.4,176.4,1.25,0.05,0.64,176.4,1.25,0.15,176.4,1.25,0.15
10,10,60,0,1,3,0,-23.18162965,3.702925924,169.2557299,-20.85133309,-30.12605547,-32.96887979,-19.03160752,37.73735293,-26.52018603,8.5,20,3.5,43.4,0.1,0.4,176.4,1.25,0.05,0.64,176.4,1.25,0.15,176.4,1.25,0.15
